題目,答案,答對回饋,答錯回饋,提示
Hearts2Hearts 是韓國哪一家知名經紀公司（K-Pop 三大/四大社之一）推出的女團？,SM,答對了！很棒！,再想想看喔！,SM/JYP/YG/HYBE
請問 Hearts2Hearts 總共有幾位成員？,8,太厲害了！,不對喔，再算一次,提示：五位以上
粉絲和媒體通常怎麼簡稱 Hearts2Hearts？,H2H,正確！你好聰明！,差一點點，再試試,大寫加數字
她們是該公司繼哪個超人氣女團之後（相隔五年）才推出的師妹團？,aespa,完全正確！,再想想看,四人女團
她們是在哪一年正式出道的？,2025,太簡單了對吧！,再想想看喔,提示：不久之前
她們的出道主打歌，歌名意思是「追逐」，請問英文歌名是什麼？,The Chase,答對了！,不對喔，再試試,追逐的英文
團內成員 Carmen 因為是該經紀公司史上第一位來自哪個東南亞國家的偶像而備受關注？,印尼,太棒了！,再算算看,千島之國
隊長 Jiwoo 除了舞蹈實力強，還有一個非常顯眼的髮型特徵（出道初期），是什麼？,短髮,很好！,再想想,長髮還是短髮
她們的粉絲名稱叫做「S2U」，請問讀音聽起來像什麼？,哈啾,厲害！,不對喔,打噴嚏的狀聲詞
Hearts2Hearts 的首張迷你專輯（1st EP）主打歌是哪一首？,FOCUS,正確！,再試試,專注的英文
